Original,NLTK
"2 cups all-purpose flour, sifted",allpurpose flour
"1 (8 oz.) package cream cheese, softened",cream cheese
3 tablespoons olive oil,olive oil
1 cup whole milk,milk
4 teaspoons baking powder,powder
"2 lbs boneless chicken breast, diced",chicken breast
1/2 teaspoon salt,salt
"3 cloves garlic, minced",clove garlic
"1 can (15 oz.) black beans, drained and rinsed",black bean rinsed
1/4 cup chopped fresh parsley,parsley
"2 tablespoons unsalted butter, melted",unsalted butter
"1 pint cherry tomatoes, halved",cherry tomato
1 teaspoon ground cumin,ground cumin
1 tablespoon soy sauce,soy sauce
1/2 cup grated Parmesan cheese,parmesan cheese
1 cup frozen peas,pea
1 (12 oz.) package spaghetti noodles,spaghetti noodle
1/4 teaspoon ground black pepper,ground black pepper
"1 medium onion, finely chopped",medium onion
3 tablespoons lemon juice,lemon juice
firmly packed brown sugar evaporated milk vanilla broken nut pecan butter margarine bite size shredded rice biscuit,brown sugar evaporated milk vanilla nut pecan butter margarine rice biscuit
small jar chipped beef cut boned chicken breast cream mushroom soup carton sour cream,chipped beef chicken breast cream mushroom soup carton sour cream
pkg frozen corn pkg cream cheese cubed butter cubed garlic powder salt pepper,corn cream cheese butter garlic powder salt pepper
large whole chicken can chicken gravy cream mushroom soup box stove top stuffing shredded cheesepeanut butter graham cracker crumb melted butter powdered sugar large pkg chocolate chip,large chicken chicken gravy cream mushroom soup box stove top stuffing cheesepeanut butter graham cracker crumb butter powdered sugar large chocolate chip
